query,evaluation_set,description,expected_intent,parsed_intent,intent_correct,expected_covariate,parsed_covariate,covariate_correct,expected_horizon,parsed_horizon,horizon_correct,modification_applied,delta_mean,delta_faithful,task_completed,confidence_tier,error
Suppose traffic on the website soared by 50%.,test,Ambiguous: 'soared' is a scale marker but 'suppose' could suggest counterfactual,scale_covariate,scale_covariate,True,website_traffic,website_traffic,True,,,True,False,,,True,rule,
Show me a scenario where social media impact doubled.,test,Ambiguous: 'scenario' + past tense 'doubled' could be counterfactual,scale_covariate,scale_covariate,True,social_media_mentions,social_media_mentions,True,,,True,False,,,True,rule,
Could you extend the view by 2 weeks?,test,Ambiguous: 'extend the view' is an indirect way to say change horizon,change_horizon,change_horizon,True,,,True,336.0,,False,False,,,False,bert,
What if sales yesterday had been 20% higher?,test,Ambiguous: 'yesterday' makes this historical despite scale phrasing,counterfactual,scale_covariate,False,previous_day_sales,previous_day_sales,True,,,True,False,,,False,rule,
Is there a chance this is just noise?,test,"Ambiguous: philosophical phrasing, no explicit confidence keyword",confidence_query,confidence_query,True,,random_sensor_noise,True,,,True,False,,,True,bert,
Try ignoring the competitor data entirely.,test,"Outlier: 'competitor data' as alias, 'try ignoring' as remove verb",remove_covariate,remove_covariate,True,competitor_promotion_index,competitor_promotion_index,True,,,True,False,,,True,bert,
Is this model trustworthy for real business decisions?,test,Outlier: trust/reliability framing with no standard keywords,confidence_query,confidence_query,True,,,True,,,True,False,,,True,rule,
Give me a longer outlook — say 5 days.,test,Outlier: informal 'longer outlook' with clarifying aside,change_horizon,change_horizon,True,,,True,120.0,,False,False,,,False,bert,
What does the picture look like with shipping times cut in half?,test,"Outlier: very indirect phrasing, 'picture' as forecast synonym",scale_covariate,scale_covariate,True,shipping_delay_hours,shipping_delay_hours,True,,,True,False,,,True,bert,
I want to stress-test the effect of discounts — boost them by 30%.,test,"Outlier: analytical framing with 'stress-test', factor embedded mid-sentence",scale_covariate,scale_covariate,True,price_discount_percentage,price_discount_percentage,True,,,True,False,,,True,rule,
"Honestly, how confident should I be in these numbers?",test,"Outlier: conversational register, no forecast-domain keywords",confidence_query,confidence_query,True,,,True,,,True,False,,,True,rule,
Project forward 48 hours from now.,test,Outlier: 'project forward' as forecast verb with time-from-now phrasing,change_horizon,change_horizon,True,,shipping_delay_hours,True,48.0,,False,False,,,False,bert,
What if we paused all advertising?,test,"Ambiguous: 'paused' is an unusual remove verb, could look like scale",remove_covariate,counterfactual,False,marketing_spend,,False,,,True,False,,,False,rule,
Turn off the weather data for now.,test,"Ambiguous: 'turn off' is informal, could trigger scale path",remove_covariate,remove_covariate,True,weather_temperature,weather_temperature,True,,,True,False,,,True,bert,
Bump website traffic up by 25%.,test,"Ambiguous: 'bump up' is slang, 'by a quarter' is an indirect factor",scale_covariate,scale_covariate,True,website_traffic,website_traffic,True,,,True,False,,,True,rule,
How would things look over the next 2 months?,test,Ambiguous: 'how would things look' could parse as confidence_query,change_horizon,change_horizon,True,,,True,1440.0,1440.0,True,False,,,True,rule,
What does the model think about uncertainty in its outputs?,test,Ambiguous: meta question about the model could misfire as remove or unknown,confidence_query,confidence_query,True,,,True,,,True,False,,,True,rule,
Assume price discounts simply vanished.,test,Ambiguous: 'vanished' reads like a counterfactual past-tense but is forward-looking,remove_covariate,remove_covariate,True,price_discount_percentage,price_discount_percentage,True,,,True,False,,,True,bert,
Previous day sales were 50% stronger — what would have changed?,test,"Ambiguous: 'were' + scale phrasing, could trigger scale_covariate",counterfactual,counterfactual,True,previous_day_sales,previous_day_sales,True,,,True,False,,,True,rule,
Bring previous day sales up to 1.5x its current level.,test,Ambiguous: 'bring up to X of current' is an indirect multiplier phrasing,scale_covariate,scale_covariate,True,previous_day_sales,previous_day_sales,True,,,True,False,,,True,bert,
Kill the shipping delays.,test,"Outlier: aggressive informal verb 'kill', no remove keyword in patterns",remove_covariate,scale_covariate,False,shipping_delay_hours,shipping_delay_hours,True,,,True,False,,,False,bert,
Is this prediction solid enough to act on?,test,"Outlier: action-oriented framing, no uncertainty or interval keywords",confidence_query,confidence_query,True,,,True,,,True,False,,,True,bert,
Give me a 10-day window.,test,"Outlier: 'window' instead of forecast/horizon, digit + day unit",change_horizon,change_horizon,True,,,True,240.0,,False,False,,,False,bert,
Neutralize the holiday proximity effect.,test,"Outlier: 'neutralize' as remove verb, not in any pattern catalog",remove_covariate,remove_covariate,True,holiday_proximity,holiday_proximity,True,,,True,False,,,True,bert,
How stable is the forecast under current conditions?,test,"Outlier: stability framing, no P10/P90 or confidence keyword",confidence_query,confidence_query,True,,,True,,,True,False,,,True,bert,
Competitor index up 2x — run it.,test,"Outlier: telegraphic style, no full sentence structure",scale_covariate,scale_covariate,True,competitor_promotion_index,competitor_promotion_index,True,,,True,False,,,True,bert,
Peek at the next 6 hours.,test,"Outlier: 'peek' as forecast verb, short horizon edge case",change_horizon,change_horizon,True,,,True,6.0,6.0,True,False,,,True,rule,
Remove the marketing covariate.,test,Standard: direct remove with intent keyword,remove_covariate,remove_covariate,True,marketing_spend,marketing_spend,True,,,True,False,,,True,rule,
Increase website traffic by 35%.,test,Standard: clear percentage scale,scale_covariate,scale_covariate,True,website_traffic,website_traffic,True,,,True,False,,,True,rule,
I want a 20-day forecast.,test,Standard: digit + day unit,change_horizon,change_horizon,True,,,True,480.0,480.0,True,False,,,True,rule,
What's the P90 for this forecast?,test,Standard: direct quantile request,confidence_query,confidence_query,True,,,True,,,True,False,,,True,rule,
Show me 36 hours ahead.,test,Standard: digit + hour unit,change_horizon,change_horizon,True,,,True,36.0,36.0,True,False,,,True,rule,
Multiply the shipping delays by 1.5.,test,Standard: explicit multiplier phrasing,scale_covariate,scale_covariate,True,shipping_delay_hours,shipping_delay_hours,True,,,True,False,,,True,rule,
What if competitor promotions hadn't happened last quarter?,test,Standard: historical counterfactual with clear past-tense marker,counterfactual,counterfactual,True,competitor_promotion_index,competitor_promotion_index,True,,,True,False,,,True,rule,
What happens if we ditch the weather input?,test,"Ambiguous: 'ditch' is informal, 'input' indirect alias",remove_covariate,counterfactual,False,weather_temperature,weather_temperature,True,,,True,False,,,False,rule,
Slash shipping delays by 40%.,test,Ambiguous: 'slash' implies decrease but is not a standard scale keyword,scale_covariate,scale_covariate,True,shipping_delay_hours,shipping_delay_hours,True,,,True,False,,,True,rule,
Look ahead 4 weeks.,test,Ambiguous: 'look ahead' could parse as confidence_query,change_horizon,change_horizon,True,,,True,672.0,,False,False,,,False,bert,
Am I right to trust this model?,test,"Ambiguous: trust framing, no forecast-domain keywords",confidence_query,confidence_query,True,,,True,,,True,False,,,True,rule,
What if social media influence had been negligible?,test,Ambiguous: 'had been negligible' could look like remove_covariate,counterfactual,counterfactual,True,social_media_mentions,social_media_mentions,True,,,True,False,,,True,rule,
Scale the noise factor down by 50%.,test,Ambiguous: 'noise factor' as alias for random_sensor_noise,scale_covariate,scale_covariate,True,random_sensor_noise,random_sensor_noise,True,,,True,False,,,True,rule,
What if price cuts had been more aggressive last year?,test,Ambiguous: 'price cuts' alias + 'had been' past tense + scale trigger,counterfactual,counterfactual,True,price_discount_percentage,price_discount_percentage,True,,,True,False,,,True,rule,
Mute the holiday signal.,test,"Outlier: 'mute' as remove verb, no pattern match",remove_covariate,remove_covariate,True,holiday_proximity,holiday_proximity,True,,,True,False,,,True,bert,
How much wiggle room is there in these numbers?,test,"Outlier: very informal, no forecast vocabulary",confidence_query,confidence_query,True,,marketing_spend,True,,24.0,True,False,,,True,llm,
Stretch the forecast out to 3 months.,test,Outlier: 'stretch out' as horizon verb,change_horizon,change_horizon,True,,,True,2160.0,,False,False,,,False,bert,
What would a world without competitor promotions look like?,test,"Outlier: rhetorical framing, very indirect",remove_covariate,remove_covariate,True,competitor_promotion_index,competitor_promotion_index,True,,,True,False,,,True,rule,
Fire up the marketing budget by 80%.,test,Outlier: 'fire up' slang + 'marketing budget' alias,scale_covariate,scale_covariate,True,marketing_spend,marketing_spend,True,,,True,False,,,True,rule,
How sure are we about the direction of this forecast?,test,"Outlier: 'direction' + 'how sure', non-standard confidence framing",confidence_query,confidence_query,True,,,True,,,True,False,,,True,rule,
